,BAU 2020,BAU 2040,Mass-Timber,Alternative Cement
Cost of LF,337632928.1081598,3673636733.5327196,3673636733.5327196,3673636733.5327196
Cost of RC,175139213.36129048,1933316636.550401,0.0,0.0
Cost of MT (Low-end),,,1884823854.321601,
Cost of MT (High-end),,,2180576537.1456013,
Cost of CSA (Low-end),,,,2017482626.7167113
Cost of CSA (High-end),,,,2038382720.1046414
Cost of AAC (Low-end),,,,2027417027.0095096
Cost of AAC (High-end),,,,2075688107.1654997
Total Cost of LF & RC (BAU),512772141.46945024,5606953370.08312,0.0,0.0
Total Cost of MT (Low-end),0.0,0.0,5558460587.854321,0.0
Total Cost of MT (High-end),0.0,0.0,5854213270.678321,0.0
Total Cost of CSA (Low-end),0.0,0.0,0.0,5691119360.249431
Total Cost of CSA (High-end),0.0,0.0,0.0,5712019453.637362
Total Cost of AAC (Low-end),0.0,0.0,0.0,5701053760.542229
Total Cost of AAC (High-end),0.0,0.0,0.0,5749324840.698219
