Strategy,BAU2020_NetEmission,BAU2020_ProcessEmission,BAU2020_Residue,BAU2020_CarbonStorage,BAU2040_NetEmission,BAU2040_ProcessEmission,BAU2040_Residue,BAU2040_CarbonStorage,Mass_Timber_NetEmission,Mass_Timber_ProcessEmission,Mass_Timber_Residue,Mass_Timber_CarbonStorage,Alternative_Cement_NetEmission,Alternative_Cement_ProcessEmission,Alternative_Cement_Residue,Alternative_Cement_CarbonStorage
Emission from RC,4947.433706130288,7143.915020336108,-2196.48131420582,0.0,4964.858686215818,7169.076060252182,-2204.2173740363646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emission from MT,,,,,,,,,-2469.2319064690623,4094.975877749123,-6564.207784218186,0.0,,,,
Emission from CSA (Low-end),,,,,,,,,,,,,-1622.8853193454554,581.3320546909094,-2204.2173740363646,0.0
Emission from CSA (High-end),,,,,,,,,,,,,-1986.217853527274,217.99952050909098,-2204.2173740363646,0.0
Emission from AAC (Low-end),,,,,,,,,,,,,-2519.105570327274,-314.88819629090926,-2204.2173740363646,0.0
Emission from AAC (High-end),,,,,,,,,,,,,-3003.548949236365,-799.3315752000005,-2204.2173740363646,0.0
Total Emission with RC,4947.433706130288,7143.915020336108,-2196.48131420582,0.0,4964.858686215818,7169.076060252182,-2204.2173740363646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Emission with MT,,,,,,,,,-2469.2319064690623,4094.975877749123,-6564.207784218186,0.0,,,,
Total Emission with CSA (Low-end),,,,,,,,,,,,,-1622.8853193454554,581.3320546909094,-2204.2173740363646,0.0
Total Emission with CSA (High-end),,,,,,,,,,,,,-1986.217853527274,217.99952050909098,-2204.2173740363646,0.0
Total Emission with AAC (Low-end),,,,,,,,,,,,,-2519.105570327274,-314.88819629090926,-2204.2173740363646,0.0
Total Emission with AAC (High-end),,,,,,,,,,,,,-3003.548949236365,-799.3315752000005,-2204.2173740363646,0.0
